id,e,f
2423,NGTL - s. 45.1 OPR application to decommission 19 pipelines and 4 associated facilities.,NGTL – Demande aux termes du paragr. 45.1 du RPT visant la désaffectation de 19 pipelines et des 4 installations associées
2434,TransCanada PipeLines Limited s. 58 application to construct and operate - Assiniboine River Sales Meter Station,TransCanada Pipelines Limited – Demande aux termes de l’article 58 visant la construction et l’exploitation de la station de comptage au point de vente de la rivière Assiniboine
1404,Westcoast Energy Inc. s. 44 OPR application to deactivate facilities at Booster Station 19.,Westcoast Energy Inc. – Demande aux termes de l’art. 44 du RPT visant la désactivation d’installations à la station auxiliaire 19.
2486,Blackbird Energy Inc. s. 74(1)(c) amalgamation application with Pipestone Oil Corp. to form Pipestone Energy Corp.,Blackbird Energy Inc. – Demande aux termes de l’al. 74(1)c) de fusion avec Pipestone Oil Corp. pour former Pipestone Energy Corp.
2534,NOVA Gas Transmission application to construct and operate - Old Alaska No. 2 Receipt Meter Station,NOVA Gas Transmission Ltd. – Demande visant la construction et l’exploitation de la station de comptage au point de réception Old Alaska no 2
2431,NGTL s. 58 application - to construct and operate - Wolf Lake South Receipt Meter Station,NGTL – Demande aux termes de l’art. 58 visant la construction et l’exploitation de la station de comptage au point de réception Wolf Lake South
2480,Ikkuma Resources Corp s. 69 name change application to Pieridae Alberta Production Ltd.,Ikkuma Resources Corp – Demande aux termes de l’art. 69 visant le changement de dénomination sociale à Pieridae Alberta Production Ltd.
2454,Westcoast Energy Inc. s. 74 application for leave to sell certain Gathering System and Processing Facilities to NorthRIver Midstream Operations LP,Westcoast Energy Inc. – Demande d’autorisation aux termes de l’art. 74 de vendre le réseau de collecte et les installations de traitement de Westcoast à NorthRiver Midstream Operations LP.
2503,Nova Gas Transmission Ltd. application to construct and operate - NPS 16 Mildred Lake North Lateral Relocation,NOVA Gas Transmission Ltd. – Demande visant la construction et l’exploitation du projet de déplacement de la canalisation latérale Mildred Lake North NPS 16
1392,Sell & Transfer Assets from AltaGas to Suffield Processing,Vente et cession d’actifs d’AltaGas à Suffield Processing
2474,NorthRiver Midstream G and P Canada Inc. s. 21 application to amend Orders - Enbridge G and P Canada Pipeline Inc.- Tupper Pipeline.,"NorthRiver Midstream G and P Canada Inc. – Demande aux termes de l’art. 21 visant le changement de titulaire d’ordonnances, d’Enbridge G and P Canada Pipeline Inc.- à Tupper Pipeline"
2566,Westcoast Energy Inc. application regarding CS-06A and CS-07 Station Piping Replacement.,Westcoast Energy Inc. – Demande visant le remplacement de la tuyauterie aux stations de compression CS-06A et CS-07
2560,NOVA Gas Transmission Ltd. - NPS 16 Marten Hills Producer Tie-In Rehabilitation Project Application for Exemption Order.,NOVA Gas Transmission Ltd. – Demande d’ordonnance d’exemption visant le projet de remise en état du raccordement Marten Hills NPS 16
1378,Construct Pembina Josephburg Connect,Construction du  raccordement Josephburg-Pembina
2411,Enbridge s. 44 OPR deactivation application - Tank 80 Connection at Regina Terminal,Enbridge – Demande aux termes de l’art. 44 du RPT visant la désactivation du raccordement du réservoir 80 au terminal Regina
2460,NGTL s. 58 application - North Central Corridor Loop (North Star Section 1),NGTL – Demande aux termes de l’art. 58 visant le doublement du couloir centre-nord (tronçon North Star 1)
1376,Deactivate Windmill Pipelines,Désactivation de pipelines de Windmill
1399,NGTL s. 58 application to construct and Operate - Tony Creek No. 2 Receipt Meter Station Expansion,NGTL – Demande aux termes de l’art. 58 visant la construction et l’exploitation de l’agrandissement de la station de comptage au point de réception Tony Creek no 2 West
2418,"Enbridge Pipelines and Westover Express Pipelines s. 21, s.74(1)a and b for the Sale and Purchase of Line 10",Enbridge Pipelines et Westover Express Pipelines – Demande aux termes de l’art. 21 et des al. 74(1)a) et b) visant la vente et l’acquisition de la canalisation 10
2489,NGTL s. 74(1)(d) application to abandon meter stations and laterals on the NGTL system,NGLT – Demande aux termes de l’al. 74(1)d) visant la cessation d’exploitation de stations de comptage et de pipelines latéraux sur le réseau de NGTL
2564,Trans-Northern Pipelines Inc. application Deactivate 1.1 km Pipe Section at Montreal Feeder Station,"Pipelines Trans-Nord Inc. — Demande de désactivation d’un tronçon de 1,1 km à la station d’alimentation Montréal"
2541,NOVA Gas Transmission Ltd. - NGTL West Path Delivery 2022 Project,NOVA Gas Transmission Ltd. – Projet de livraison parcours ouest en 2022 de NGTL
2518,Trans-Northern Pipelines Inc. - Project Notification and Application for the Toronto Port Lands Abandonment Project - Phase One,Pipelines Trans-Nord Inc. – Avis de projet et demande visant le projet de cessation d’exploitation de terrains dans le port de Toronto — Phase un
2495,Trans Mountain Pipeline ULC - Grand Rapids Pipeline Metering Connection,Trans Mountain Pipeline ULC – Projet de raccordement d’installations de comptage au pipeline Grand Rapids
2472,Many Islands Pipe Lines s. 44 OPR application for deactivation of a section of the Husky-Marwayne Pipeline,Many Islands Pipe Lines – Demande aux termes de l’art. 44 du RPT visant la désactivation d’une section du pipeline Husky-Marwayne
1407,"Nova Gas Transmission Ltd. s. 58 application to construct and operate - Mildred Lake East Sales Meter Station and s. 45.1 OPR decommissioning application to remove existing meter runs, etc","Nova Gas Transmission Ltd. – (art. 58) Demande visant la construction et l’exploitation de la station de comptage au point de vente Mildred Lake East, et (paragr. 45.1 du RPT) visant la désaffectation pour retirer des sections de comptage existantes, etc."
2535,NOVA Gas Transmission Ltd. application to construct and operate - Gundy West No. 2 Receipt Meter Station,NOVA Gas Transmission Ltd. – Demande visant la construction et l’exploitation de la station de comptage au point de réception Gundy West no 2
2581,Bow River Energy Inc. and Surge Energy Inc. jointly request leave to transfer ownership of the deactivated pipeline 280197-1 (Alberta) and 280197-3 (Sask) to Surge.,Bow River Energy Inc. et Surge Energy Inc. – Demande conjointe visant le transfert de propriété du pipeline désactivé 280197-1 (Alberta) et 280197-3 (Sask) à Surge.
2435,NOVA Gas Transmission s. 58 application to construct and operate - Sheerness No. 2 Sales Meter Station,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation de la station de comptage au point de vente Sheerness no 2
2455,AltaGas s. 74(1)(d) Abandonment Application - Acadia Valley Pipeline and Acadia Valley Tie-ins,AltaGas – Demande aux termes de l’al. 74(1)d) visant la cessation d’exploitation du pipeline Acadia Valley et des raccordements Acadia Valley
1387,Construct Clark Lake South Meter Station,Construction de la station comptage Clark Lake South
2598,Express Pipeline Ltd. on behalf of Express Pipeline Limited Partnership - Application for Leave to Sell of the Youngstown Substation to ATCO Electric Ltd,"Express Pipeline Ltd., au nom d’Express Pipeline Limited Partnership - Demande d’autorisation de vendre le poste Youngstown à ATCO Electric Ltd"
1410,NGTL - s. 43 OPR application to increase MOP - Progress and Progress East Receipt Meter Stations,NGTL – Demande aux termes de l’art. 43 du RPT visant l’augmentation de la PME des stations de comptage au point de réception Progress et Progress East
2575,NOVA Gas Transmission Ltd.- Application for the Pioneer South Pipeline Acquisition of Assets,NOVA Gas Transmission Ltd. – Demande d’acquisition des actifs du pipeline Pioneer South
2475,NOVA Gas Transmission s. 58 application to construct and operate - Smoky River Sales Meter Station,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation de la station de comptage au point de vente Smoky River
2498,Maritimes and Northeast Pipeline Management Ltd. s 74 (1)(d) abandonment application - Deep Panuke Custody Transfer Station,Maritimes and Northeast Pipeline Management Ltd. – Demande aux termes de l’al. 74 (1)d) visant la cessation d’exploitation de la station de transfert de propriété Deep Panuke
2449,ONEOK Rockies Processing Company (Canada) Ltd. s. 21 application to vary Orders to change name to Lignite Pipeline Canada Corp.,ONEOK Rockies Processing Company (Canada) Ltd. – Demande aux termes de l’art. 21 visant la modification d’ordonnances pour changer le nom du titulaire à Lignite Pipeline Canada Corp.
1336,Abandon Ten IPLs,Cessation d’exploitation de dix lignes internationales de transport d’électricité
2512,1057533 Alberta Ltd. application to abandon the Shekilie Pipeline.,1057533 Alberta Ltd. – Demande visant la cessation d’exploitation du pipeline Shekilie
2412,"ExxonMobil s. 74(1)(d) abandonment application - Goldboro Gas Plant and 26"" Gathering Pipeline Sable Offshore",ExxonMobil – Demande aux termes de l’al. 74(1)d) visant la cessation d’exploitation de l’usine à gaz Goldboro et du pipeline de collecte extracôtier Sable de 26 po
2538,"NOVA Gas Transmission Ltd. (NGTL), application to reactivate two pipelines located at Baptiste River and Brewster Creek crossings",NOVA Gas Transmission Ltd. (« NGTL ») – Demande de réactivation de deux pipelines se trouvant aux franchissements de la rivière Baptiste et du ruisseau Brewster
2515,NGTL s. 52 application - 2021 NGTL System Expansion Project (HEARING),NGTL – Demande aux termes de l’art. 52 visant le projet d’agrandissement du réseau de NGTL en 2021 (AUDIENCE)
2446,Enbridge Pipelines Inc. - s.45 - Application to Reactivate Tank 80 Connection,Pipelines Enbridge Inc. – Demande aux termes de l’art. 45 visant le raccordement du réservoir 80
2469,Genesis and Nova Chemicals (Canada) Ltd s. 74(1)(a)and (b)and s. 21 to change ownership of Line 33,Genesis and Nova Chemicals (Canada) Ltd. – Demande aux termes des al. 74(1)a)et b)et de l’art. 21 visant le changement de propriétaire de la canalisation 33
2532,Zibi Community Utility Project,Projet de Services d’Énergie de Quartier Zibi
2592,NOVA Gas Transmission Ltd. application to install new cooling systems at the existing Hidden Lake and Hidden Lake North Compressor Stations.,NOVA Gas Transmission Ltd. – Demande visant l’installation de nouveaux systèmes de refroidissement aux stations de compression Hidden Lake et Hidden Lake North existantes
2578,TAQA North application to abandon 6 pipelines and a meter station-Chinchaga abandonment Project,TAQA North – Demande visant la cessation d’exploitation de six pipelines et de la station de comptage Chinchaga
1396,Pouce Coupé Pipe Line Ltd. s. 58 application - construct and operate - Saddle River HDD Crossing and s. 45.1 OPR application to decommission the existing Saddle River PIpeline,Pouce Coupé Pipe Line Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation du franchissement par FDH de la rivière Saddle et du paragr. 45.1 du RPT visant la désaffectation du pipeline Saddle River existant
2584,Enbridge Pipelines Inc. (on behalf of Westover Express Pipeline Ltd) application for Mechanical and physical separation of Line 10 from the existing Enbridge assets to allow Westover Express Pipeline Ltd,Pipelines Enbridge Inc. (au nom de Westover Express Pipeline Ltd.) – Demande visant la séparation mécanique et physique de la canalisation 10 des actifs existants d’Enbridge de Westover Express Pipeline Ltd.
2429,Manitoba Hydro-Electric Board s. 45 application - Manitoba-Minnesota Transmission Project,"Régie de l’hydro-électricité du Manitoba, demande aux termes de l’art. 45 – Projet de ligne de transmission Manitoba – Minnesota"
2478,NOVA Gas Transmission Ltd. s. 214 application to construct and Operate - Dawson Creek East No. 2 Receipt Meter Station,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 214 visant la construction et l’exploitation de la station de comptage au point de réception Dawson Creek East no 2
2552,Encana Corporation Notification of Name Change from Encana Corporation to Ovintiv Canada ULC,Encana Corporation – Avis de changement de dénomination sociale d’Encana Corporation à Ovintiv Canada
2452,Obsidian Energy Ltd. s. 74 (1) Application to Abandon one lateral pipeline.- Esther Court,Obsidian Energy Ltd. – Demande aux termes du paragr. 74 (1) visant la cessation d’exploitation du pipeline latéral Esther Court
2572,NOVA Gas Transmission Ltd - application to construct and operate - Smoky River South Sales Meter Station,NOVA Gas Transmission Ltd. – Demande visant la construction et l’exploitation de la station de comptage au point de vente Smoky River South
1390,Construct Spruce Ridge Program,Construction liée au programme Spruce Ridge
2521,Windmill DREAM application for leave to abandon - 4 deactivated pipelines,Windmill DREAM – Demande d’autorisation de cesser l’exploitation de quatre pipelines désactivés
2595,Crescent Point Energy Corp.  application to abandon two pipelines in two separate RoW’s both of which are part of the abandonment program in this area.,Crescent Point Energy Corp. – Demande de cessation d’exploitation de deux pipelines occupant des emprises distinctes et faisant partie du programme de cessation d’exploitation dans cette régione
1370,NGTL s. 58 application to construct and Operate - Wilson Ridge Receipt Meter Station,NGTL – Demande aux termes de l’art. 58 visant la construction et l’exploitation de la station de comptage au point de réception Wilkin Ridge
1333,Transfer Wildboy Pipeline from Obsidian Energy to Tidewater,Transfert du pipeline Wildboy d’Obsidian Energy à Tidewater
2415,EnCana Corporation - s.74(1)(d) - Leave to Abandon Application - Deep Panuke Offshore Gas Development,EnCana Corporation - alin. 74(1)(d) – Demande d’abandon du projet de mise en valeur du gisement de gaz extracôtier Deep Panuke
1384,Variance to XO-P097-02-2002,Demande de modification de l’ordonnance XO-P097-02-2002
2458,NOVA Gas Transmission Ltd. s. 58 application to construct and operate - Dorscheid Receipt Meter Station,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation de la station de comptage au point de réception Dorscheid
2509,Many Island Pipe Lines (Canada) Limited s. 58 application to construct and operate - Pierceland Supply Project,Many Islands Pipe Lines (Canada) Limited – Demande aux termes de l’art. 58 visant le projet d’approvisionnement Pierceland
2516,Kinder Morgan Cochin ULC - Application to Transfer Abandonment Funds from the Kinder Morgan Cochin Pipeline Reclamation Trust to the Kinder Morgan Utopia Pipeline Reclamation Trust,Kinder Morgan Cochin ULC – Demande visant l’approbation du transfert des fonds pour la cessation d’exploitation de la fiducie pour la remise en état du pipeline Cochin à la fiducie pour la remise en état du pipeline Utopia de Kinder Morgan
2587,Lignite Pipeline Canada Corp. application to reactivate approximately 1.9 kilometres of the North Portal Pipeline.,"Lignite Pipeline Canada Corp. – Demande de réactivation d’une section d’environ 1,9 kilomètre du pipeline North Portal"
2441,"Plains Midstream Canada ULC Conditions 4, 5 and 6 of MO-011-2012 Final Reports","Plains Midstream Canada ULC – Conditions 4, 5 et 6 de l’ordonnance MO-011-2012"
2470,Enbridge Pipelines Inc. s. 58 application -  Line 1 Connectivity at Gretna,Pipelines Enbridge Inc. – Demande aux termes de l’art. 58 visant le raccordement de la canalisation 1 à Gretna
2493,"Resolute FP Canada Inc. and 2670568 Ontario Limited - s. 74 Application for Consent to Purchase Fort Frances, Ontario Commodity Pipelines","Resolute FP Canada Inc. et 2670568 Ontario Limited – Demande aux termes de l’art. 74 visant l’autorisation de faire l’acquisition de Fort Frances, Ontario Commodity Pipelines"
2424,Strategic Oil & Gas Ltd  s. 44 OPR deactivation application - Cameron Hills Pipeline,Strategic Oil & Gas Ltd – Demande aux termes de l’art. 44 du RPT visant la désactivation du pipeline Cameron Hills
2447,Many Islands Pipe Lines (Canada) Limited s. 44 OPR application for deactivation of a section of Esther-Smiley Pipeline,Many Islands Pipe Lines (Canada) Limited – Demande aux termes de l’art. 44 du RPT de désactivation d’une section du pipeline Esther-Smiley
1405,Trans Mountain Pipeline ULC s. 58 application - North Thompson 6 Crossing Replacement,Trans Mountain Pipeline ULC – Demande aux termes de l’art. 58 visant le remplacement de l’ouvrage de franchissement no 6 de la rivière Thompson Nord
2579,NOVA Gas Transmission Ltd. - application to construct and operate - McLeod River Sales Meter Station,NOVA Gas Transmission Ltd. – Demande visant la construction et l’exploitation de la station de comptage au point de vente McLeod River
2487,TransCanada PipeLines Limited s. 214 application to construct and operate - Station 130 C5 Compressor Station Unit Addition,TransCanada Pipelines Limited – Demande aux termes de l’art. 214 visant la construction et l’exploitation du projet d’ajout d’un motocompresseur C5 à la station 130
2433,TEML s. 45.1 OPR application to decommission a segment of the SM-06 pipeline,TEML – Demande aux termes du paragr. 45.1 du RPT visant la désaffectation d’un tronçon du pipeline SM-06
2533,NOVA Gas Transmission Ltd.- Operations and Maintenance Notification OM2020-316 - Caribou habitat offsets,NOVA Gas Transmission Ltd. – Avis d’exploitation et d’entretien OM2020à 316 – Compensation pour l’annulation de effets sur l’habitat du caribou
2573,Cenovus Energy Inc. and Canadian Natural Resources Limited application for  leave to transfer from CVE to Canadian Natural certain Pipelines.,Cenovus Energy Inc. et Canadian Natural Resources Limited – Demande d’autorisation de transfert de certains pipelines  de CVE à Canadian Natural Resources Limited
2430,AltaGas Holdings Inc. s. 44 OPR application to deactivate the Mica Pipeline.,AltaGas Holdings Inc. – Demande aux termes de l’art. 44 du RPT visant la désactivation du pipeline Mica
1385,Decommission NPS 24 Quebec Mainline,Désaffectation de la canalisation principale du Québec de 610 mm (NPS 24)
1391,Replace existing section Henderson Creek HDD Crossing,Remplacement d’un tronçon du franchissement du ruisseau Henderson par FDH
2547,Westcoast Energy Inc. Application for the Shekilie Pipelines Abandonment Project,Westcoast Energy Inc. – Demande visant le projet de cessation d’exploitation du pipelines Shekilie
2524,TransCanada PipeLines Limited s. 214 application to construct and operate - Station 148 E1 Unit Addition,TransCanada Pipelines Limited – Demande aux termes de l’art. 214 visa nt la construction et l’exploitation du projet d’ajout d’un motocompresseur E1 à la station 148
2461,TransCanada PipeLines Limited s. 58 application to construct and operate - Brandon Sales Meter Station Upgrade,TransCanada Pipelines Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation du projet de mise à niveau de la station de comptage au point de vente Brandon
2567,ARC Resources Ltd. application 4 to deactivate NPS 6” High Pressure Sour Natural Gas 13-20-080-13W6 to 05-28-080-13W6 Pipeline,ARC Resources Ltd. – Demande de désactivation du pipeline de gaz naturel corrosif à haute pression NPS 6 de 13-20-080-13W6 à 05-28-080-13W6
1371,Transfer Orders from ConocoPhillips to Cenovus,Transfert d’ordonnances de ConocoPhillips à Cenovus
1379,Construct IPL Woodstock to Houston,Construction d’une ligne internationale de transport d’électricité de Woodstock à Houston
2553,Campus Energy Partners Operations Inc. application for the deactivation of the Sibbald-Hoosier Pipeline and Riser.,Campus Energy Partners Operations Inc.  Demande de désactivation du pipeline et de la colonne montante Sibbald
2559,NOVA Gas Transmission Ltd. application to sell the Countess West Lateral to Pioneer Gas Co-op Limited,NOVA Gas Transmission Ltd. – Demande visant la vente de la canalisation latérale Countess West à Pioneer Gas Co-op Ltd.
2510,Nova Gas transmission Ltd. application to construct and operate - Dawson Creek No. 2 Receipt Meter Station,NOVA Gas Transmission Ltd. – Demande visant la construction et l’exploitation de la station de comptage au point de réception Dawson Creek no 2
2410,NGTL s. 58 application for the construction and Operation of McLeod River North Project,NGTL – Demande aux termes de l’art. 58 visant la construction et l’exploitation du projet McLeod River North
2444,Pine Cliff Energy Ltd s. 43 OPR application to increase MOP of the NPS 16 Pipeline,Pine Cliff Energy Ltd – Demande aux termes de l’art. 43 du RPT visant l’augmentation de la PME du pipeline NPS 16
2513,TransCanada PipeLines Limited - Nipigon South Sales Meter Station,TransCanada PipeLines Limited – Demande visant le projet de station de comptage au point de vente Nipigon South
2490,Trans Mountain Pipeline ULC - 2019 Depreciation Study Application,Trans Mountain Pipeline ULC – Demande visant une étude d’amortissement de 2019
2421,Westcoast Energy Inc. s. 58 application - 4BL Cottonwood River Crossover Assembly,Westcoast Energy Inc. – Demande aux termes de l’art. 58 visant l’ouvrage de franchissement 4BL de la rivière Cottonwood
2496,Cenovus Energy Inc. application to deactivate Hiding Creek- NPS 6 Pipeline,Cenovus Energy Inc. – Demande visant la désactivation du pipeline Hiding Creek NPS 6
1394,Kinder Morgan Utopia Ltd. s. 58 Detroit River Crossing Replacement Project,Kinder Morgan Utopia Ltd. – Demande aux termes de l’art. 58 visant le projet de remplacement du franchissement de la rivière Detroit
2473,NorthRiver Midstream Canada LP s. 21 application to amend Orders - Spectra Energy Midstream Canada Partner Corporation- West Doe/ Pouce Coupe Pipelines,"NorthRiver Midstream Canada LP – Demande aux termes de l’art. 21 visant le changement de titulaire d’ordonnances, de Spectra Energy Midstream Canada Partner Corporation à West Doe/ Pouce Coupe Pipelines"
1348,Condition Compliance and Resolution MO-054-2015,Conformité aux conditions et règlement liés à l’ordonnance MO-054-2015
2427,TransCanada s. 58 application - to construct and operate -Hardisty East and West Interconnecting Facilities Pump Unit Additions,TransCanada – Demande aux termes de l’art. 58 visant la construction et l’exploitation les nouvelles pompes des installations d’interconnexion est-ouest à Hardisty
2590,Westcoast Energy Inc. - application to construct and operate Grizzly Valley Mainline Crossing Project,Westcoast Energy Inc. – Demande visant la construction et l’exploitation du projet de franchissement de la canalisation principale Grizzly Valley
1408,Construct Forestburg Lateral Loop and Forestburg East Sales Meter Station,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation du doublement de la canalisation latérale Forestburg et de la station de comptage au point de vente Forestburg East
2530,AltaGas Holdings Inc. on behalf of AltaGas Pipeline Partnership application to abandon Kahntah Pipeline and Kahntah Meter Station,"AltaGas Holdings Inc., au nom d’AltaGas Pipeline Partnership – Demande visant la cessation d’exploitation du pipeline Kahntah et de la station de comptage Kahntah"
2536,Milk River Pipeline Ltd. application to transfer the Milk River Pipeline System from Plains Midstream Canada ULC.,Milk River Pipeline Ltd. – Demande visant le transfert de propriété du réseau pipelinier Milk River de Plains Midstream Canada ULC à Milk River Pipeline Ltd.
2484,NOVA Gas Transmission s. 214 application to construct and operate - Clearwater Compressor Station C7 Unit Addition,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 214 visant la construction et l’exploitation du projet d’ajout d’un motocompresseur C7 à la station de compression Clearwater
2550,NOVA Gas Transmission Ltd. - to construct and operate - North Central Corridor Remediation Project,NOVA Gas Transmission Ltd. – Demande visant la construction et l’exploitation du projet d’assainissement du couloir centre-nord
2527,Trans Canada PipeLines Limited s. 58 application to construct and operate - Station 802 B3 Unit Addition,TransCanada Pipelines Limited – Demande aux termes de l’art. 58 visant la construction et l’exploitation du projet d’ajout d’un motocompresseur B3 à la station 802
2576,NOVA Gas Transmission Ltd. - application to construct and operate - Emerson Creek Compressor Station,NOVA Gas Transmission Ltd. – Demande visant la construction et l’exploitation de la station de compression Emerson Creek
2476,Enbridge Pipelines Inc. s. 44 OPR application to deactivate Tank 74 and fill lines at Regina Terminal,Pipelines Enbridge Inc. – Demande aux termes de l’art. 44 du RPT visant la désactivation du réservoir 74 et des conduites de remplissage au terminal Regina
2593,Milk River Pipeline Ltd. application to abandon the Red Coulee Gas Pipeline,Milk River Pipeline Ltd. – Demande d’autorisation de cessation d’exploitation du gazoduc Red Coulee
2570,Alliance Pipeline Ltd. application for the Bigstone Reactivation Project.,Alliance Pipeline Ltd. – Demande visant le projet de réactivation Bigstone
2450,AltaGas Holdings Inc. s. 74(1)(d)  abandonment application - Pouce Coupe B pipeline.,AltaGas Holdings Inc. al. 74(1)d)  Demande de cessation d’exploitation du pipeline Pouce Coupe B
2464,LBX Pipeline Ltd. s. 58 application to construct and Operate - BlackPearl Onion Lake Project,LBX Gas Transmission Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation du projet BlackPearl Onion Lake
2507,Trans Québec and Maritimes Pipeline Inc. application to construct and operate - Blainville Compressor Station and East Hereford Electrical Upgrade,Gazoduc Trans Québec et Maritimes Inc. – Demande visant la construction et l’exploitation de la station de compression Blainville et la mise à niveau électrique à East Hereford
2539,"Westcoast Energy Inc., s. 44 OPR application to deactivate the NPS 8 North Dahl Pipeline",Westcoast Energy Inc. – Demande aux termes de l’art. 44 du RPT visant la désactivation du pipeline North Dahl NPS 8
2485,TCE and Express Pipeline Ltd. s. 21 variance application to reflect the change in ownership of the Wildhorse IPL,TCE et Express Pipeline Ltd. – Demande de modification aux termes de l’article 21 pour rendre compte du changement de propriétaire de la LIT Wildhorse
2545,Delphi Energy Corp. notification of name change to Distinction Energy Corp.,Delphi Energy Corp. – Avis de changement de dénomination sociale à Distinction Energy Corp.
2602,Steel Reef Pipelines Canada Corp.- application for the construction and operation of the Sinclair Pipeline Project,Steel Reef Pipelines Canada Corp. – Demande visant la construction et l’exploitation du projet de pipeline Sinclair
2614,NOVA Gas Transmission Ltd. -Application to construct and operate the NGTL West Path Delivery 2023 Project,NOVA Gas Transmission Ltd. – Demande visant la construction et l’exploitation du projet de livraison parcours ouest en 2023 de NGTL
2608,Alliance Pipeline Ltd. - Application for the SK56 Meter Station Deactivation Project,Alliance Pipeline Ltd. – Demande visant le projet de désactivation du poste de comptage SK56
2605,NOVA Gas Transmission Ltd. - Application for the Sale of the NPS 16 Carstairs Lateral. to Crossroads Co-op Ltd.,NOVA Gas Transmission Ltd. – Demande visant la vente de la canalisation latérale Carstairs NPS 16 à Crossroads Co-op Ltd.
2611,Alliance Pipeline Ltd. application for the AB47 CAT G3412 Compressor Reactivation Project.,Alliance Pipeline Ltd. – Demande visant le projet de réactivation du compresseur AB47 CAT G3412
1275,Westcoast s. 58 application - High Pine Expansion Project,Westcoast – Demande aux termes de l’article 58 visant le projet d’agrandissement High Pine
2606,Steel Reef Pipelines Canada Corp application to construct and operate - North Portal Pipeline Lateral Project,Demande de Steel Reef Pipelines Canada Corp visant la construction et l’exploitation du projet de canalisation latérale North Portal
2609,NOVA Gas Transmission application for the sale of yard piping located at the Mildred Lake Sales Meter Station to TransCanada Pipeline Ventures Limited Partnership.,Demande de NOVA Gas Transmission visant la vente de tuyauterie extérieure située à la station de comptage au point de vente Mildred Lake à TransCanada Pipeline Ventures Limited Partnership
2597,Enbridge Pipelines (NW) Inc. application to deactivate assets at Wrigley station.,Enbridge Pipelines (NW) Inc. – Demande visant la désactivation d’éléments d’actif à la station Wrigley
2617,NorthRiver Midstream Canada Partner Limited application for a Change of Service of the West Doe Pipeline from non-sour natural gas to sour natural gas.,"NorthRiver Midstream Canada Partner Limited – Demande de modification du service du pipeline West Doe, de gaz naturel non corrosif à gaz naturel corrosif"
2603,"Enbridge Pipelines Inc. Application to Deactivate the Relief Line between Lines 5, 78B and 95 into Tank 202 at Sarnia Terminal","Pipelines Enbridge Inc. – Demande visant la désactivation de la conduite de détente entre les canalisations 5, 78B et 95 dans le réservoir 202 au terminal Sarnia"
2618,"Enbridge pipelines Inc. - Application to Reactivate the Relief Line between Lines 5, 78B and 95 into Tank 202 at Sarnia Terminal","Pipelines Enbridge Inc. – Demande visant la réactivation de la conduite de déversement entre les canalisations 5, 78B et 95 dans le réservoir 202 au terminal Sarnia"
2604,Westcoast Energy Inc. - Application to Vary Coquihalla River Crossing 16 Replacement Order XG-W102-002-2017,Westcoast Energy Inc. – Demande de modification de l’ordonnance XG-W102-002-2017 relative au projet de remplacement du franchissement no 16 de la rivière Coquihalla
2612,NOVA Gas Transmission Ltd. - Leismer Ethane Extraction Plant Tie-in Project,NOVA Gas Transmission Ltd. – Projet de raccordement à l’usine d’extraction d’éthane Leismer
2544,NOVA Gas Transmission Ltd. - Application for the Sale of the NPS 6 Coaldale Lateral to ATCO Gas and Pipelines Ltd.,NOVA Gas Transmission Ltd. – Demande visant la vente de la canalisation latérale Coaldale NPS 6 à ATCO Gas and Pipelines Ltd.
1121,2017 NGTL System Expansion Project,Projet d’agrandissement du réseau de NGTL en 2017
2615,Trans-Northern Pipelines Inc. - Application for the Mirabel Meter Station Decommissioning Project.,Pipelines Trans Nord Inc. – Demande visant le projet de désaffectation de la station de comptage Mirabel
2601,Enercapita Energy Ltd. application to change direction of flow,Enercapita Energy Ltd. – Demande visant un changement de sens d’écoulement
2610,Alliance Pipeline Ltd. - application for the AB10 Meter Station Deactivation Project,Alliance Pipeline Ltd. – Demande visant le projet de désactivation du poste de comptage AB10
2504,NGTL System Rate Design and Services Application,Demande visant la conception des droits et les services du réseau de NGTL
2596,Trans Mountain Pipeline ULC application to install two (2) new NPS 12 meter runs at Meter Bank 4 and the associated piping for transfer of product to tankage and proving activities.,Trans Mountain Pipeline ULC – Demande visant l’installation de deux nouvelles sections de comptage NPS 12 à la rangée de compteurs 4 et de la tuyauterie connexe pour le transfert du produit aux installations de stockage et les activités de vérification
2616,Hydro One Networks Inc. application to Perform IPL Circuit Rerouting at the Sarnia -Scott Transmission Station for IPL B3N.,Hydro One Networks Inc. – Demande de modification du tracé de la ligne internationale de transport d’électricité B3N au poste de transmission Sarnia-Scott
2599,Maritimes & Northeast Pipeline Management Ltd. Saint John Lateral Reversing Falls Bridge Replacement application,Maritimes & Northeast Pipeline Management Ltd. – Projet de remplacement de la canalisation latérale Saint John sur le pont des chutes réversibles
