Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released (m3),Substance,Release Type,Significant,Year,What Happened,Why It Happened
INC2018-137,Operation Beyond Design Limits,10/01/2018,Steelman,Saskatchewan,Tundra Energy Marketing Limited,Closed,49.286324,-102.631387,Not Applicable,Not Applicable,Not Applicable,No,2018,Incorrect Operation,Human Factors
INC2018-139,Release of Substance,10/06/2018,Rainier,Alberta,NOVA Gas Transmission Ltd.,Closed,50.30496,-112.09675,607.1300,Natural Gas - Sweet,Gas,No,2018,Corrosion and Cracking,"Engineering and Planning, Failure in communication"
INC2018-141,Serious Injury (CER or TSB),10/09/2018,Manitou,Manitoba,Enbridge Pipelines Inc.,Closed,49.235774,-98.481214,Not Applicable,Not Applicable,Not Applicable,Yes,2018,Incorrect Operation,Human Factors
INC2018-142,"Explosion, Fire, Release of Substance",10/09/2018,Prince George,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,54.02808,-122.65524,3980000.0000,Natural Gas - Sweet,Gas,Yes,2018,Corrosion and Cracking,Engineering and Planning
INC2018-144,Serious Injury (CER or TSB),10/10/2018,"Regina, SK",Saskatchewan,TransCanada PipeLines Limited,Closed,50.39316803,-104.40936353,Not Applicable,Not Applicable,Not Applicable,Yes,2018,Incorrect Operation,"Human Factors, Inadequate Supervision, Standards and Procedures, Tools and Equipment"
INC2018-145,Release of Substance,10/15/2018,Cleardale,Alberta,NOVA Gas Transmission Ltd.,Closed,56.37079958,-119.9226624,10.0000,Natural Gas - Sweet,Gas,No,2018,Corrosion and Cracking,"Engineering and Planning, Maintenance"
INC2018-149,Operation Beyond Design Limits,10/18/2018,Hamilton,Ontario,Enbridge Pipelines Inc.,Closed,43.329026,-80.091296,Not Applicable,Not Applicable,Not Applicable,No,2018,"External Interference, Incorrect Operation","Engineering and Planning, Failure in communication, Human Factors, Tools and Equipment"
INC2018-151,Operation Beyond Design Limits,10/18/2018,The community of Prophet River is 9 kMs for this location,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,57.89173387,-122.71786582,Not Applicable,Not Applicable,Not Applicable,No,2018,Natural Force Damage,Natural or Environmental Forces
INC2018-152,Fire,10/19/2018,"Cabri, Saskatchewan",Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,Closed,50.60512453,-108.70855503,Not Applicable,Not Applicable,Not Applicable,No,2018,"External Interference, Incorrect Operation","Inadequate Supervision, Tools and Equipment"
INC2018-153,Fire,10/20/2018,Fort St John,British Columbia,NOVA Gas Transmission Ltd.,Closed,56.78555556,-122.13194444,Not Applicable,Not Applicable,Not Applicable,No,2018,External Interference,Natural or Environmental Forces
INC2018-157,Operation Beyond Design Limits,10/24/2018,The rural community of Buick Creek is 5.95 km NW of this location,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.74324468,-121.18264842,Not Applicable,Not Applicable,Not Applicable,No,2018,Natural Force Damage,Natural or Environmental Forces
INC2018-158,Serious Injury (CER or TSB),10/29/2018,Dodsland,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.7913,-108.8216,Not Applicable,Not Applicable,Not Applicable,Yes,2018,Incorrect Operation,Failure in communication
INC2018-159,Operation Beyond Design Limits,10/30/2018,"Moyie, BC",British Columbia,Foothills Pipe Lines Ltd.,Closed,49.27367,-115.59596,Not Applicable,Not Applicable,Not Applicable,No,2018,"External Interference, Natural Force Damage",Natural or Environmental Forces
INC2018-160,Operation Beyond Design Limits,11/05/2018,"Bonanza, AB",Alberta,Pouce Coupé Pipe Line Ltd. as agent and general partner of the Pembina North Limited Partnership,Closed,55.875358,-119.845442,Not Applicable,Not Applicable,Not Applicable,No,2018,"External Interference, Natural Force Damage",Natural or Environmental Forces
INC2018-162,Fire,11/07/2018,"East Hereford, QC",Quebec,Trans Québec and Maritimes Pipeline Inc.,Closed,45.03339107,-71.50002623,Not Applicable,Not Applicable,Not Applicable,No,2018,"External Interference, Other Causes",Tools and Equipment
INC2018-163,Operation Beyond Design Limits,11/12/2018,Mississauga,Ontario,Trans-Northern Pipelines Inc.,Closed,43.51232,-79.622715,Not Applicable,Not Applicable,Not Applicable,No,2018,"External Interference, Natural Force Damage",Natural or Environmental Forces
INC2018-165,Release of Substance,11/21/2018,"Trout Lake, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,56.48610421,-114.11750799,8213.5900,Natural Gas - Sweet,Gas,No,2018,"Corrosion and Cracking, Incorrect Operation","Standards and Procedures, Tools and Equipment"
INC2018-166,Release of Substance,11/23/2018,brookdale,Manitoba,Plains Midstream Canada ULC,Closed,50.038132,-99.623821,0.0001,Propane,Gas,No,2018,Defect and Deterioration,Human Factors
INC2018-169,Operation Beyond Design Limits,11/28/2018,The community of Halfway River is 7.7 kMs from this location. ,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.53155543,-121.82932867,Not Applicable,Not Applicable,Not Applicable,No,2018,Natural Force Damage,Natural or Environmental Forces
INC2018-170,Operation Beyond Design Limits,11/28/2018,The community of Blueberry River is 7.5 kMs from this location.,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.6572599,-121.01073052,Not Applicable,Not Applicable,Not Applicable,No,2018,Natural Force Damage,Natural or Environmental Forces
INC2018-171,Serious Injury (CER or TSB),11/29/2018,Glenboro,Manitoba,Enbridge Pipelines Inc.,Closed,49.323,-99.173,Not Applicable,Not Applicable,Not Applicable,Yes,2018,"External Interference, Incorrect Operation","Human Factors, Inadequate Supervision, Tools and Equipment"
INC2018-172,Operation Beyond Design Limits,11/30/2018,The Prophet River First Nations community is 15.6 km from this location.,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,57.92822369,-122.71669454,Not Applicable,Not Applicable,Not Applicable,No,2018,Natural Force Damage,Natural or Environmental Forces
INC2018-173,Operation Beyond Design Limits,11/30/2018,The Prophet River First Nations community is 16.5 km from this location. ,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,57.91971088,-122.71798766,Not Applicable,Not Applicable,Not Applicable,No,2018,Natural Force Damage,Natural or Environmental Forces
INC2018-174,Operation Beyond Design Limits,12/01/2018,"Hardisty, Alberta",Alberta,Express Pipeline Ltd.,Closed,52.63822644,-111.27864571,Not Applicable,Not Applicable,Not Applicable,No,2018,"External Interference, Incorrect Operation","Engineering and Planning, Human Factors"
INC2018-175,Serious Injury (CER or TSB),12/03/2018,Virden,Manitoba,Enbridge Pipelines Inc.,Closed,49.5055204,-100.5557102,Not Applicable,Not Applicable,Not Applicable,Yes,2018,Incorrect Operation,Human Factors
INC2018-176,Serious Injury (CER or TSB),12/04/2018,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.796452,-101.367996,Not Applicable,Not Applicable,Not Applicable,Yes,2018,"External Interference, Incorrect Operation","Human Factors, Inadequate Supervision, Maintenance, Tools and Equipment"
INC2018-177,Release of Substance,12/04/2018,Chetwynd BC,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.573639,-121.9434,4.9400,Natural Gas - Sour,Gas,Yes,2018,External Interference,Standards and Procedures
INC2018-182,Release of Substance,12/13/2018,Chetwynd British Columbia,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.572745,-121.940852,9500.0000,Natural Gas - Sweet,Gas,Yes,2018,External Interference,"Engineering and Planning, Maintenance"
INC2018-183,Release of Substance,12/13/2018,Chetwynd British Columbia,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.572723,-121.940853,55.0000,Natural Gas - Sour,Gas,Yes,2018,External Interference,Engineering and Planning
INC2018-186,Fire,12/19/2018,Mc Neil,Alberta,NOVA Gas Transmission Ltd.,Closed,50.684356,-110.082945,Not Applicable,Not Applicable,Not Applicable,No,2018,"External Interference, Incorrect Operation",Inadequate Supervision
INC2018-187,Release of Substance,12/31/2018,Quesnel,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,52.72947567,-122.44197649,609.0000,Natural Gas - Sweet,Gas,No,2018,External Interference,Inadequate Procurement
INC2019-001,Release of Substance,01/03/2019,"Taylor, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14630285,-120.66916931,735.8000,Natural Gas - Sweet,Gas,No,2019,"Corrosion and Cracking, Defect and Deterioration",Maintenance
INC2019-003,Operation Beyond Design Limits,01/10/2019,Sherwood Park,Alberta,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,Closed,53.54464713,-113.35387734,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation","Human Factors, Tools and Equipment"
INC2019-004,Fire,01/10/2019,"Fox Creek, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,54.401614,-118.020456,Not Applicable,Not Applicable,Not Applicable,No,2019,"Equipment Failure, Incorrect Operation","Human Factors, Standards and Procedures"
INC2019-005,Fire,01/10/2019,Fort St John,British Columbia,NOVA Gas Transmission Ltd.,Closed,56.510406,-121.869944,Not Applicable,Not Applicable,Not Applicable,No,2019,Incorrect Operation,Human Factors
INC2019-006,Serious Injury (CER or TSB),01/11/2019,"Virden, Manitoba",Manitoba,Enbridge Pipelines Inc.,Closed,49.73378561,-100.95332124,Not Applicable,Not Applicable,Not Applicable,Yes,2019,Incorrect Operation,Human Factors
INC2019-007,Fire,01/15/2019,Valleyview,Alberta,NOVA Gas Transmission Ltd.,Closed,55.035897,-117.363566,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation","Engineering and Planning, Human Factors, Inadequate Supervision"
INC2019-008,Release of Substance,01/16/2019,Cleardale,Alberta,NOVA Gas Transmission Ltd.,Closed,56.37079958,-119.9226624,2866.0000,Natural Gas - Sweet,Gas,No,2019,Corrosion and Cracking,Maintenance
INC2019-013,Release of Substance,01/27/2019,"Thorhild, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,54.09446953,-113.23131808,0.1300,Natural Gas - Sweet,Gas,No,2019,Corrosion and Cracking,"Engineering and Planning, Maintenance"
INC2019-014,Fire,01/29/2019,Edson Alberta,Alberta,Trans Mountain Pipeline ULC,Closed,53.607907,-115.579668,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation","Human Factors, Maintenance"
INC2019-016,Operation Beyond Design Limits,02/01/2019,Carvel Corner,Alberta,Trans Mountain Pipeline ULC,Closed,53.560638,-114.251335,Not Applicable,Not Applicable,Not Applicable,No,2019,Natural Force Damage,Natural or Environmental Forces
INC2019-018,Fire,02/04/2019,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.48310727,-118.09993252,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation","Maintenance, Natural or Environmental Forces"
INC2019-019,Serious Injury (CER or TSB),02/05/2019,"Wonowon, British Columbia",British Columbia,NOVA Gas Transmission Ltd.,Closed,54.78775,-122.12972222,Not Applicable,Not Applicable,Not Applicable,Yes,2019,"External Interference, Incorrect Operation","Failure in communication, Human Factors, Maintenance"
INC2019-020,Fire,02/06/2019,Chetwynd ,British Columbia,NOVA Gas Transmission Ltd.,Closed,54.04048,-121.180202,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Other Causes",Natural or Environmental Forces
INC2019-022,Fire,02/07/2019,"Burstall, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,50.66117043,-110.02507115,Not Applicable,Not Applicable,Not Applicable,No,2019,External Interference,"Inadequate Supervision, Maintenance"
INC2019-024,Operation Beyond Design Limits,02/14/2019,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.641704,-111.273945,Not Applicable,Not Applicable,Not Applicable,No,2019,External Interference,Maintenance
INC2019-025,Release of Substance,02/20/2019,"Hearst, ON",Ontario,TransCanada PipeLines Limited,Closed,49.74450054,-84.06775503,1258.3500,Natural Gas - Sweet,Gas,No,2019,Corrosion and Cracking,Engineering and Planning
INC2019-026,Fire,02/22/2019,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26848937,-122.93134198,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation","Inadequate Procurement, Maintenance"
INC2019-028,Fire,02/28/2019,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.24568023,-116.23962717,Not Applicable,Not Applicable,Not Applicable,No,2019,Other Causes,Natural or Environmental Forces
INC2019-029,Release of Substance,02/28/2019,Edmundston ,New Brunswick,Twin Rivers Paper Company Inc.,Closed,47.3614398,-68.3284301,2.0000,Water,Miscellaneous,No,2019,Equipment Failure,Maintenance
INC2019-030,Fire,03/05/2019,"Wonowon, BC",British Columbia,NOVA Gas Transmission Ltd.,Closed,56.780686,-122.146267,Not Applicable,Not Applicable,Not Applicable,No,2019,Equipment Failure,Maintenance
INC2019-031,Fire,03/07/2019,"Edmoton, Alberta",Alberta,Trans Mountain Pipeline ULC,Closed,53.499491,-113.589715,Not Applicable,Not Applicable,Not Applicable,No,2019,"Equipment Failure, External Interference, Incorrect Operation","Human Factors, Inadequate Supervision, Maintenance"
INC2019-032,Operation Beyond Design Limits,03/14/2019,The city of Merritt is 16.5 km away,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,50.74267954,-120.8488661,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Natural Force Damage",Natural or Environmental Forces
INC2019-034,Fire,03/18/2019,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26848937,-122.93134198,Not Applicable,Not Applicable,Not Applicable,No,2019,"Equipment Failure, External Interference, Incorrect Operation",Maintenance
INC2019-036,Fire,03/21/2019,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26848937,-122.93134198,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation","Inadequate Supervision, Maintenance"
INC2019-037,Adverse Environmental Effects,03/26/2019,Fort St Johns,British Columbia,NOVA Gas Transmission Ltd.,Closed,56.026111,-121.139444,Not Applicable,Not Applicable,Not Applicable,Yes,2019,"External Interference, Other Causes","Natural or Environmental Forces, Tools and Equipment"
INC2019-038,Serious Injury (CER or TSB),04/04/2019,"Sherwood Park, AB",Alberta,Trans Mountain Pipeline ULC,Closed,53.5422999,-113.3677955,Not Applicable,Not Applicable,Not Applicable,Yes,2019,Incorrect Operation,Human Factors
INC2019-040,Explosion,04/16/2019,Town of Japser,Alberta,Trans Mountain Pipeline ULC,Closed,52.93819303,-118.04343796,Not Applicable,Not Applicable,Not Applicable,No,2019,Incorrect Operation,Maintenance
INC2019-041,Release of Substance,04/17/2019,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,53.381576,-115.615938,192183.4900,Natural Gas - Sweet,Gas,Yes,2019,Corrosion and Cracking,"Engineering and Planning, Maintenance"
INC2019-046,Release of Substance,04/26/2019,"15,000",New Brunswick,Twin Rivers Paper Company Inc.,Closed,47.36,-68.33,0.3000,Water,Miscellaneous,No,2019,Equipment Failure,Maintenance
INC2019-047,Release of Substance,04/29/2019,"Swift Current, SK",Saskatchewan,TransCanada PipeLines Limited,Closed,49.93069,-108.94167,24419.0000,Natural Gas - Sweet,Gas,No,2019,"Equipment Failure, External Interference","Engineering and Planning, Natural or Environmental Forces"
INC2019-048,Release of Substance,05/01/2019,Prince George,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,54.26833,-122.60651,0.0100,Natural Gas - Sweet,Gas,No,2019,Defect and Deterioration,Inadequate Procurement
INC2019-049,Release of Substance,05/02/2019,"15,000",New Brunswick,Twin Rivers Paper Company Inc.,Closed,47.36,-68.33,236.0000,Water,Miscellaneous,No,2019,Defect and Deterioration,To be determined
INC2019-051,Operation Beyond Design Limits,05/14/2019,"Trout Creek, ON",Ontario,TransCanada PipeLines Limited,Closed,45.93232,-79.37498,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Natural Force Damage",Natural or Environmental Forces
INC2019-062,Fire,05/27/2019,"Hanna, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,51.91564,-111.74472,Not Applicable,Not Applicable,Not Applicable,No,2019,"Equipment Failure, Incorrect Operation","Maintenance, Standards and Procedures"
INC2019-065,Fire,05/30/2019,Hasler Flats,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.94466164,Not Applicable,Not Applicable,Not Applicable,No,2019,"Corrosion and Cracking, Equipment Failure",Maintenance
INC2019-067,Release of Substance,06/04/2019,Roulier,Quebec,Champion Pipe Line Corporation Limited,Submitted,47.7611,-79.4719,1.0000,Natural Gas - Sweet,Gas,No,2019,Other Causes,Human Factors
INC2019-068,Operation Beyond Design Limits,06/04/2019,Gretna,Manitoba,Enbridge Pipelines Inc.,Closed,49.019628,-97.571562,Not Applicable,Not Applicable,Not Applicable,No,2019,External Interference,Standards and Procedures
INC2019-072,Operation Beyond Design Limits,06/18/2019,"Donatville, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,54.782498,-112.808838,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Natural Force Damage",Natural or Environmental Forces
INC2019-074,Fire,06/18/2019,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26797,-122.921798,Not Applicable,Not Applicable,Not Applicable,No,2019,External Interference,Engineering and Planning
INC2019-077,Fire,06/29/2019,Sherwood Park,Alberta,Trans Mountain Pipeline ULC,Closed,53.54290845,-113.36445011,Not Applicable,Not Applicable,Not Applicable,No,2019,Incorrect Operation,"Human Factors, Maintenance"
INC2019-078,Operation Beyond Design Limits,07/03/2019,Baltimore ,Ontario,Trans-Northern Pipelines Inc.,Closed,44.025841,-78.167113,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Natural Force Damage",Natural or Environmental Forces
INC2019-079,Operation Beyond Design Limits,07/08/2019,Surrey,British Columbia,Trans Mountain Pipeline ULC,Closed,49.181486,-122.719974,Not Applicable,Not Applicable,Not Applicable,No,2019,Natural Force Damage,Natural or Environmental Forces
INC2019-080,Explosion,07/10/2019,City of Kamloops,British Columbia,Trans Mountain Pipeline ULC,Closed,50.66260932,-120.41416339,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation",Maintenance
INC2019-081,Release of Substance,07/14/2019,Suffield,Alberta,Express Pipeline Ltd.,Closed,50.1731181,-111.165654,5.0000,Crude Oil - Sweet,Liquid,No,2019,External Interference,"Engineering and Planning, Maintenance, Tools and Equipment"
INC2019-084,Fire,07/22/2019,Beaverlodge,Alberta,NOVA Gas Transmission Ltd.,Closed,55.12858033,-119.38984699,Not Applicable,Not Applicable,Not Applicable,No,2019,External Interference,Natural or Environmental Forces
INC2019-089,Release of Substance,08/09/2019,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.6527,-122.7042,155958.3800,Natural Gas - Sour,Gas,Yes,2019,Incorrect Operation,"Failure in communication, Standards and Procedures"
INC2019-091,Serious Injury (CER or TSB),08/15/2019,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.88869,-117.11462,Not Applicable,Not Applicable,Not Applicable,Yes,2019,"External Interference, Incorrect Operation","Human Factors, Inadequate Supervision, Tools and Equipment"
INC2019-092,"Release of Substance, Adverse Environmental Effects",08/17/2019,Blue River,British Columbia,Trans Mountain Pipeline ULC,Closed,52.0652,-119.31508,74.0000,Drilling Fluid,Miscellaneous,Yes,2019,"External Interference, Incorrect Operation",Tools and Equipment
INC2019-096,Fire,08/28/2019,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.66,-122.69,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation","Maintenance, Standards and Procedures"
INC2019-097,Operation Beyond Design Limits,08/30/2019,Ramore,Ontario,TransCanada PipeLines Limited,Closed,48.443855,-80.347784,Not Applicable,Not Applicable,Not Applicable,No,2019,Natural Force Damage,Natural or Environmental Forces
INC2019-098,Release of Substance,09/02/2019,Rapid City,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Submitted,50.07461053,-100.00036153,50.0000,Crude Oil - Sweet,Liquid,No,2019,"Corrosion and Cracking, Equipment Failure","Engineering and Planning, Maintenance, Standards and Procedures"
INC2019-099,Fire,09/08/2019,"Edson, AB",Alberta,Trans Mountain Pipeline ULC,Closed,53.57580147,-116.64755443,Not Applicable,Not Applicable,Not Applicable,No,2019,"Equipment Failure, External Interference",Maintenance
INC2019-100,Fire,09/11/2019,"Crossfield, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,51.40375331,-114.03396956,Not Applicable,Not Applicable,Not Applicable,No,2019,"Equipment Failure, External Interference",Maintenance
INC2019-103,Operation Beyond Design Limits,09/25/2019,Glenavon,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.183454,-103.1616,Not Applicable,Not Applicable,Not Applicable,No,2019,Equipment Failure,Engineering and Planning
INC2019-104,Operation Beyond Design Limits,09/26/2019,Toronto,Ontario,Trans-Northern Pipelines Inc.,Closed,43.76842553,-79.48533571,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation","Failure in communication, Tools and Equipment"
INC2019-105,Operation Beyond Design Limits,09/30/2019,"Branch Modular Home Park, Yellowhead County (2km East of site)",Alberta,Trans Mountain Pipeline ULC,Closed,53.57580147,-116.64755443,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Natural Force Damage",Natural or Environmental Forces
INC2019-107,Operation Beyond Design Limits,10/05/2019,Wonowon,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.5285191,-121.96021454,Not Applicable,Not Applicable,Not Applicable,No,2019,Natural Force Damage,Natural or Environmental Forces
INC2019-109,Release of Substance,10/09/2019,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54740268,-113.35571374,8.0000,Crude Oil - Synthetic,Liquid,No,2019,Corrosion and Cracking,"Maintenance, Standards and Procedures"
INC2019-112,Release of Substance,10/18/2019,"Sherwood Park, AB",Alberta,Trans Mountain Pipeline ULC,Closed,53.545709,-113.365488,2.0000,Crude Oil - Sweet,Liquid,No,2019,"External Interference, Incorrect Operation","Human Factors, Standards and Procedures"
INC2019-113,Release of Substance,10/18/2019,"Water Valley, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,51.44418383,-114.52710752,3.1800,Lube Oil,Liquid,No,2019,"Equipment Failure, Other Causes",Inadequate Procurement
INC2019-114,Operation Beyond Design Limits,10/21/2019,"Wandering River, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,54.993657,-112.523208,Not Applicable,Not Applicable,Not Applicable,No,2019,Natural Force Damage,Natural or Environmental Forces
INC2019-116,Fire,10/23/2019,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,53.7905953,-116.9528857,Not Applicable,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation",Tools and Equipment
INC2019-118,Operation Beyond Design Limits,10/26/2019,"Elko, BC",British Columbia,Foothills Pipe Lines Ltd.,Closed,49.29246,-115.18849,Not Applicable,Not Applicable,Not Applicable,No,2019,Natural Force Damage,Natural or Environmental Forces
INC2019-120,Release of Substance,11/05/2019,"Edson, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,53.198331,-116.194173,31775.9600,Natural Gas - Sweet,Gas,Yes,2019,Corrosion and Cracking,"Engineering and Planning, Maintenance"
INC2019-124,Release of Substance,11/14/2019,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.64186166,-111.26426221,6.0000,Crude Oil - Sweet,Liquid,No,2019,Incorrect Operation,"Maintenance, Standards and Procedures"
INC2019-131,Serious Injury (CER or TSB),12/09/2019,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,53.780254,-116.629058,Not Applicable,Not Applicable,Not Applicable,Yes,2019,External Interference,"Human Factors, Natural or Environmental Forces"
INC2019-133,Fire,12/15/2019,"Wonowon, BC",British Columbia,NOVA Gas Transmission Ltd.,Closed,56.966387,-122.083585,Not Applicable,Not Applicable,Not Applicable,No,2019,External Interference,Maintenance
INC2019-135,Operation Beyond Design Limits,12/18/2019,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.65031647,-111.268398,Not Applicable,Not Applicable,Not Applicable,No,2019,"Equipment Failure, External Interference",Engineering and Planning
INC2020-002,Release of Substance,01/14/2020,Caron,Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,Closed,50.48066052,-105.86703804,29.0000,Crude Oil - Sweet,Liquid,No,2020,External Interference,"Human Factors, Inadequate Supervision, Maintenance"
INC2020-004,Operation Beyond Design Limits,01/17/2020,Saint Lazare,Quebec,Trans-Northern Pipelines Inc.,Closed,45.41329,-74.1119,Not Applicable,Not Applicable,Not Applicable,No,2020,"External Interference, Natural Force Damage",Natural or Environmental Forces
INC2020-005,Release of Substance,01/21/2020,Cactus Lake,Saskatchewan,Enbridge Pipelines Inc.,Closed,52.14173322,-109.81299181,26.0000,Condensate,Liquid,No,2020,"Corrosion and Cracking, External Interference","Maintenance, Natural or Environmental Forces"
INC2020-006,Fire,01/26/2020,"Paddle Prairie, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,57.80784558,-118.09967795,Not Applicable,Not Applicable,Not Applicable,No,2020,External Interference,To be determined
INC2020-007,Fire,01/28/2020,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.12286944,-117.63194444,Not Applicable,Not Applicable,Not Applicable,No,2020,External Interference,Maintenance
INC2020-009,Serious Injury (CER or TSB),01/31/2020,"Quesnel, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,53.72092225,-122.60792149,Not Applicable,Not Applicable,Not Applicable,Yes,2020,"External Interference, Incorrect Operation","Engineering and Planning, Human Factors, Inadequate Supervision, Natural or Environmental Forces"
INC2020-010,Serious Injury (CER or TSB),01/31/2020,Savona,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,50.74934264,-120.85724519,Not Applicable,Not Applicable,Not Applicable,Yes,2020,"External Interference, Incorrect Operation","Failure in communication, Human Factors, Inadequate Supervision, Natural or Environmental Forces, Standards and Procedures"
INC2020-011,Release of Substance,02/02/2020,Dartmouth Industrial Park,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.71527257,-63.59037083,2.1300,Natural Gas - Sweet,Gas,No,2020,"Equipment Failure, External Interference",Natural or Environmental Forces
INC2020-014,Serious Injury (CER or TSB),02/04/2020,Fort St. John,British Columbia,NOVA Gas Transmission Ltd.,Closed,56.894,-122.14,Not Applicable,Not Applicable,Not Applicable,Yes,2020,External Interference,Natural or Environmental Forces
INC2020-015,Fire,02/04/2020,Hinton ,Alberta,NOVA Gas Transmission Ltd.,Closed,54.01,-117.37,Not Applicable,Not Applicable,Not Applicable,No,2020,"External Interference, Incorrect Operation","Human Factors, Natural or Environmental Forces, Tools and Equipment"
INC2020-016,Release of Substance,02/07/2020,Edson ,Alberta,NOVA Gas Transmission Ltd.,Closed,53.198483,-116.192766,0.1000,Natural Gas - Sweet,Gas,No,2020,Corrosion and Cracking,"Engineering and Planning, Maintenance"
INC2020-017,Release of Substance,02/14/2020,"Daysland, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,52.98812718,-112.19138271,22702.0000,Natural Gas - Sweet,Gas,No,2020,Corrosion and Cracking,"Engineering and Planning, Maintenance"
